75,60,60
76,61,59
76,62,58
75,63,59
75,62,58
78,56,63
80,58,59
80,59,56
80,64,52
81,63,52
80,61,58
81,61,57
81,60,57
80,59,60
78,62,57
76,64,55
80,63,54
78,65,54
79,65,54
77,61,60
77,62,59
78,62,56
76,61,57
76,62,58
76,61,58
77,62,58
78,60,58
79,63,56
77,61,60
77,61,57
79,61,58
79,63,55
78,64,54
80,63,54
78,64,55
79,61,57
78,58,62
79,61,59
77,59,58
80,58,59
77,59,60
79,61,55
82,62,50
77,60,59
77,59,61
77,60,61
77,61,61
79,60,60
82,60,57
79,61,58
77,60,60
77,59,61
79,60,58
79,58,57
80,62,50
77,61,58
78,61,59
79,62,55
80,60,56
82,58,56
79,58,57
76,58,60
78,61,57
78,64,55
75,65,53
71,59,55
72,60,54
69,57,59
68,59,62
