81,60,53
81,60,53
80,59,56
81,61,56
80,61,55
82,61,54
82,62,55
83,63,53
83,63,54
83,64,51
82,59,59
84,61,58
84,59,59
84,64,54
85,62,57
86,64,52
84,63,56
85,61,56
85,60,60
85,61,60
86,61,57
85,61,57
85,62,60
82,61,64
83,61,65
85,62,60
84,61,62
83,61,65
83,60,66
85,62,63
86,61,65
85,62,63
87,65,58
87,63,60
85,63,61
85,64,63
86,63,63
87,65,60
87,66,60
85,64,63
86,63,65
87,64,60
86,62,64
83,64,64
83,63,65
83,63,63
84,63,62
83,65,62
82,64,59
83,63,59
85,64,59
84,65,60
82,62,66
83,63,60
82,63,62
82,62,63
